name,amount
SONA,55
ALYSSA,54
ANNABELLA,54
ATHINA,54
BOGDANNA,54
CORINNA,54
DAMLA,54
DITTA,54
DORIT,54
ESTELLA,54
HUONG,54
IANINA,54
MARTINE,54
RIWANA,54
SENA,54
VESNA,54
YADVIHA,54
ANELIA,53
ANUSH,53
BAR,53
BASIA,53
BETTY,53
BOŻYSŁAWA,53
BRUNA,53
DELIA,53
JANETTE,53
KASSANDRA,53
LIMOR,53
LORA,53
MARA,53
MIYA,53
ORYSYA,53
ROMANIIA,53
WIKTORIJA,53
ZALINA,53
ZOÉ,53
ANASTASSIYA,52
ANASTAZIA,52
ANNALIZA,52
CHRYSTYNA,52
ELFRIEDE,52
HOA,52
NATHALIA,52
NINEL,52
ÖZLEM,52
PERLA,52
